,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
696426,BL300,2023-05-02 22:07:26-03:00,022,"(-25.418575, -49.269923)","[-25.418602737522047, -49.26977939816493]",0.8902316213494461,14.770272690691476
696427,BL300,2023-05-02 22:07:21-03:00,022,"(-25.4185, -49.270331)","[-25.418485574117177, -49.27032609559933]",0.8892245720040282,1.6725236605477711
696428,BL300,2023-05-02 22:07:16-03:00,022,"(-25.418343, -49.270718)","[-25.41838189749217, -49.27067881793954]",0.8872104733131924,5.840084946858967
696429,BL300,2023-05-02 22:07:11-03:00,022,"(-25.418158, -49.271055)","[-25.41818206046716, -49.27101815019871]",0.8831822759315207,4.56600816497823
696430,BL300,2023-05-02 22:06:31-03:00,022,"(-25.418083, -49.271655)","[-25.41809630107375, -49.27138886614844]",0.8801611278952669,26.815123929252056
696431,BL300,2023-05-02 22:06:26-03:00,022,"(-25.418055, -49.271878)","[-25.41796159084762, -49.272080689881186]",0.879154078549849,22.867047373642773
696432,BL300,2023-05-02 22:06:21-03:00,022,"(-25.417946, -49.272353)","[-25.41796159084762, -49.272080689881186]",0.879154078549849,27.45039722782964
696433,BL300,2023-05-02 22:06:01-03:00,022,"(-25.417533, -49.274373)","[-25.41747107960389, -49.27439910728772]",0.8751258811681772,7.345160510333519
696434,BL300,2023-05-02 22:05:21-03:00,022,"(-25.417463, -49.274718)","[-25.41747107960389, -49.27439910728772]",0.8751258811681772,32.095104750101676
696435,BL300,2023-05-02 22:04:26-03:00,022,"(-25.416706, -49.278126)","[-25.416642211264353, -49.27849429673711]",0.8690835850956697,37.72102967100295
696436,BL300,2023-05-02 22:04:21-03:00,022,"(-25.416631, -49.278516)","[-25.416642211264353, -49.27849429673711]",0.8690835850956697,2.5120058509830887
696437,BL300,2023-05-02 22:03:16-03:00,022,"(-25.41664, -49.279153)","[-25.416559178032735, -49.27893321370004]",0.8670694864048338,23.85593934526771
696438,BL300,2023-05-02 22:03:06-03:00,022,"(-25.416565, -49.279481)","[-25.416381608880705, -49.27974636261763]",0.8660624370594159,33.54826285136282
696439,BL300,2023-05-02 22:03:01-03:00,022,"(-25.416441, -49.279731)","[-25.416381608880705, -49.27974636261763]",0.8660624370594159,6.758401164508628
696440,BL300,2023-05-02 22:02:41-03:00,022,"(-25.415978, -49.281666)","[-25.415922307780562, -49.28172979631256]",0.8610271903323263,8.90274806017669
696441,BL300,2023-05-02 22:02:36-03:00,022,"(-25.415825, -49.28233)","[-25.415828533130377, -49.28217095405023]",0.8600201409869084,16.0060302055179
696442,BL300,2023-05-02 22:02:26-03:00,022,"(-25.415538, -49.283686)","[-25.415533884786093, -49.28354270702573]",0.8569989929506546,14.423614491178604
696443,BL300,2023-05-02 22:02:21-03:00,022,"(-25.41546, -49.28407)","[-25.41540876749893, -49.2841012114078]",0.8559919436052367,6.486257337126377
696444,BL300,2023-05-02 22:02:11-03:00,022,"(-25.415285, -49.284811)","[-25.41531514432919, -49.28463758756561]",0.8549848942598187,17.763406978979063
696445,BL300,2023-05-02 22:02:06-03:00,022,"(-25.415206, -49.28519)","[-25.415076417113134, -49.28570229325413]",0.8539778449144008,53.502667251546434
696446,BL300,2023-05-02 22:01:56-03:00,022,"(-25.415063, -49.28591)","[-25.415076417113134, -49.28570229325413]",0.8539778449144008,20.949816722248425
696447,BL300,2023-05-02 22:01:46-03:00,022,"(-25.414903, -49.28666)","[-25.414928538815673, -49.28634959816492]",0.8529707955689829,31.356934255913917
696448,BL300,2023-05-02 22:01:21-03:00,022,"(-25.414318, -49.289271)","[-25.414308964869107, -49.289339751970594]",0.8479355488418933,6.989103167746325
696449,BL300,2023-05-02 22:01:16-03:00,022,"(-25.414245, -49.289598)","[-25.41427028576304, -49.28965298987248]",0.8459214501510574,6.20117986262837
696450,BL300,2023-05-02 22:01:06-03:00,022,"(-25.41471, -49.289781)","[-25.414718749082866, -49.28982444479192]",0.8418932527693856,4.477088217672745
696451,BL300,2023-05-02 22:00:51-03:00,022,"(-25.415423, -49.289961)","[-25.415533003089976, -49.290034250008546]",0.8398791540785498,14.241127743970004
696452,BL300,2023-05-02 22:00:46-03:00,022,"(-25.415631, -49.290015)","[-25.415533003089976, -49.290034250008546]",0.8398791540785498,11.027410582640911
696453,BL300,2023-05-02 22:00:41-03:00,022,"(-25.416123, -49.290141)","[-25.416331510053155, -49.2902360085983]",0.8388721047331319,24.9981924535367
696454,BL300,2023-05-02 22:00:11-03:00,022,"(-25.420173, -49.291191)","[-25.420134916081036, -49.291264620718266]",0.8318227593152064,8.52385333188283
696455,BL300,2023-05-02 21:59:56-03:00,022,"(-25.421803, -49.291615)","[-25.421823443555336, -49.291688497247435]",0.8288016112789527,7.7330801076257885
696456,BL300,2023-05-02 21:59:51-03:00,022,"(-25.422153, -49.291703)","[-25.422206666328997, -49.29162501043342]",0.824773413897281,9.843938313567987
696457,BL300,2023-05-02 21:59:01-03:00,022,"(-25.42235, -49.291591)","[-25.422206666328997, -49.29162501043342]",0.824773413897281,16.242849704707336
696458,BL300,2023-05-02 21:58:51-03:00,022,"(-25.422525, -49.291315)","[-25.42247624124135, -49.291263277927214]",0.8207452165156093,7.500040195323468
696459,BL300,2023-05-02 21:58:31-03:00,022,"(-25.422633, -49.290968)","[-25.42247624124135, -49.291263277927214]",0.8207452165156093,34.40909613464516
696460,BL300,2023-05-02 21:58:21-03:00,022,"(-25.422785, -49.290483)","[-25.4227875132907, -49.29039854583744]",0.8177240684793555,8.500810254850867
696461,BL300,2023-05-02 21:58:06-03:00,022,"(-25.423076, -49.29049)","[-25.4227875132907, -49.29039854583744]",0.8177240684793555,33.25632851129735
696462,BL300,2023-05-02 21:57:56-03:00,022,"(-25.423428, -49.290566)","[-25.423403587999797, -49.29059308573153]",0.8167170191339376,3.8390548099375614
696463,BL300,2023-05-02 21:57:51-03:00,022,"(-25.423813, -49.290668)","[-25.423805737075487, -49.29072869676793]",0.8157099697885196,6.158938826305801
696464,BL300,2023-05-02 21:57:36-03:00,022,"(-25.424805, -49.291581)","[-25.424903556849245, -49.29181089046676]",0.8116817724068479,25.574658324364382
696465,BL300,2023-05-02 21:57:31-03:00,022,"(-25.425046, -49.29192)","[-25.42506860626321, -49.291963291602336]",0.8096676737160121,5.023818598974897
696466,BL300,2023-05-02 21:57:11-03:00,022,"(-25.425191, -49.292193)","[-25.42506860626321, -49.291963291602336]",0.8096676737160121,26.792684633924367
696467,BL300,2023-05-02 21:57:06-03:00,022,"(-25.42527, -49.292401)","[-25.42506860626321, -49.291963291602336]",0.8096676737160121,49.362843978801635
696468,BL300,2023-05-02 21:56:56-03:00,022,"(-25.425821, -49.293213)","[-25.425185405098766, -49.29190385955058]",0.8086606243705942,149.339601004167
696469,BL300,2023-05-02 21:56:51-03:00,022,"(-25.426218, -49.29361)","[-25.425185405098766, -49.29190385955058]",0.8086606243705942,206.26270597077323
696472,BL300,2023-05-02 21:56:21-03:00,022,"(-25.429315, -49.294221)","[-25.431944695877196, -49.293738177446755]",0.7935548841893253,295.3371166494766
696473,BL300,2023-05-02 21:55:56-03:00,022,"(-25.429595, -49.29382)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,245.3983559983926
696474,BL300,2023-05-02 21:55:51-03:00,022,"(-25.42973, -49.293623)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,222.8007913558754
696475,BL300,2023-05-02 21:55:46-03:00,022,"(-25.429975, -49.293318)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,185.23486123461817
696476,BL300,2023-05-02 21:55:41-03:00,022,"(-25.4303, -49.293068)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,142.64178072148928
696477,BL300,2023-05-02 21:55:31-03:00,022,"(-25.430905, -49.292848)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,72.06726847183126
696478,BL300,2023-05-02 21:55:21-03:00,022,"(-25.431203, -49.292656)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,35.278665796560524
696479,BL300,2023-05-02 21:55:11-03:00,022,"(-25.431501, -49.292625)","[-25.43151877177114, -49.292610538028725]",0.7945619335347432,2.447936409314811
696480,BL300,2023-05-02 21:55:01-03:00,022,"(-25.432, -49.293845)","[-25.431944695877196, -49.293738177446755]",0.7935548841893253,12.369541517246454
696481,BL300,2023-05-02 21:54:26-03:00,022,"(-25.433705, -49.29795)","[-25.433459852112403, -49.29758847062168]",0.7875125881168177,45.388340358571234
696482,BL300,2023-05-02 21:54:21-03:00,022,"(-25.433888, -49.298488)","[-25.433799324566653, -49.29842993523653]",0.7865055387713998,11.42871013035291
696483,BL300,2023-05-02 21:53:46-03:00,022,"(-25.434005, -49.298816)","[-25.433799324566653, -49.29842993523653]",0.7865055387713998,45.02574267742436
696484,BL300,2023-05-02 21:53:16-03:00,022,"(-25.434993, -49.301388)","[-25.434898416722863, -49.3012885702638]",0.783484390735146,14.485244011647529
696485,BL300,2023-05-02 21:53:11-03:00,022,"(-25.435161, -49.301901)","[-25.43519931691424, -49.30206075340766]",0.7814702920443102,16.621007013939558
696486,BL300,2023-05-02 21:53:06-03:00,022,"(-25.435381, -49.302361)","[-25.43519931691424, -49.30206075340766]",0.7814702920443102,36.29411104092612
696487,BL300,2023-05-02 21:52:46-03:00,022,"(-25.435731, -49.303366)","[-25.43590571121714, -49.30394712783118]",0.7794561933534743,61.57702178772772
696488,BL300,2023-05-02 21:52:31-03:00,022,"(-25.436185, -49.304435)","[-25.4362252778569, -49.304813507829294]",0.7784491440080564,38.33494962080166
696489,BL300,2023-05-02 21:52:26-03:00,022,"(-25.436363, -49.304915)","[-25.4362252778569, -49.304813507829294]",0.7784491440080564,18.357462417014325
696490,BL300,2023-05-02 21:52:21-03:00,022,"(-25.436445, -49.305316)","[-25.436432872156725, -49.305368295718154]",0.7774420946626385,5.429312297589098
696491,BL300,2023-05-02 21:52:11-03:00,022,"(-25.436125, -49.30582)","[-25.436172973090603, -49.30584322399517]",0.7754279959718026,5.8052250896299995
696492,BL300,2023-05-02 21:52:06-03:00,022,"(-25.4359, -49.306105)","[-25.435973996865734, -49.30605823327505]",0.7744209466263847,9.451283359719094
696493,BL300,2023-05-02 21:51:46-03:00,022,"(-25.436215, -49.307221)","[-25.436204777864454, -49.307296727578034]",0.7724068479355488,7.7012050345288525
696494,BL300,2023-05-02 21:47:16-03:00,022,"(-25.43629, -49.30744)","[-25.436204777864454, -49.307296727578034]",0.7724068479355488,17.228813852132692
696495,BL300,2023-05-02 21:47:06-03:00,022,"(-25.43645, -49.307893)","[-25.436565899207515, -49.30832081440928]",0.771399798590131,44.908546100297315
696496,BL300,2023-05-02 21:47:01-03:00,022,"(-25.43656, -49.308231)","[-25.436565899207515, -49.30832081440928]",0.771399798590131,9.058078424661371
696497,BL300,2023-05-02 21:46:51-03:00,022,"(-25.437158, -49.30805)","[-25.437001317425977, -49.30812407055225]",0.7693856998992951,18.888791892408072
696498,BL300,2023-05-02 21:46:16-03:00,022,"(-25.441026, -49.30621)","[-25.441063000197232, -49.30615786747643]",0.75730110775428,6.655715294530293
